concepto,Q1_2025_usd,Q2_2025_usd,Q3_2025_usd,Q4_2025_usd,total_anual_usd
Ingresos por suscripciones,185000,210000,248000,295000,938000
Ingresos por servicios profesionales,22000,18000,31000,40000,111000
Ingresos totales,207000,228000,279000,335000,1049000
Costo de infraestructura cloud,-38000,-41000,-48000,-55000,-182000
Costo de soporte al cliente,-15000,-17000,-19000,-22000,-73000
Costos totales,-53000,-58000,-67000,-77000,-255000
Ganancia bruta,154000,170000,212000,258000,794000
Gastos de marketing,-45000,-52000,-61000,-70000,-228000
Gastos de I+D,-38000,-41000,-45000,-50000,-174000
Gastos administrativos,-20000,-22000,-24000,-26000,-92000
Gastos operativos totales,-103000,-115000,-130000,-146000,-494000
EBITDA,51000,55000,82000,112000,300000
Impuestos,-12000,-13000,-19000,-26000,-70000
Utilidad neta,39000,42000,63000,86000,230000
